2026-06-01 13:20:10 | INFO     | trading_bot | Logging successfully initialized. Writing logs to D:\Projects\internship project\trading_bot\trading_bot.log
2026-06-01 13:20:10 | INFO     | trading_bot | Initializing Binance Futures Testnet Client...
2026-06-01 13:20:11 | INFO     | trading_bot | Time synchronization complete. Offset: -1199 ms
2026-06-01 13:20:11 | INFO     | trading_bot | Pinging Binance Futures Testnet server...
2026-06-01 13:20:12 | INFO     | trading_bot | Ping successful. Connected to Binance Futures Testnet.
2026-06-01 13:20:12 | INFO     | trading_bot | Fetching futures account details...
2026-06-01 13:20:13 | INFO     | trading_bot | USDT Futures Wallet Balance: 4999.8541268
2026-06-01 13:20:13 | INFO     | trading_bot | Preparing order execution request: Symbol=BTCUSDT, Side=BUY, Type=LIMIT, Quantity=0.005, Price=60000.0
2026-06-01 13:20:13 | INFO     | trading_bot | Sending order request payload to Binance Futures Testnet API: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 0.005, 'price': 60000.0, 'timeInForce': 'GTC'}
2026-06-01 13:20:13 | INFO     | trading_bot | Order placed successfully. Received API response: {'orderId': 13674551082, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'x-Cb7ytekJ8b7914a85c51f0a9b88a83', 'price': '60000.00', 'avgPrice': '0.00', 'origQty': '0.0050', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1780300212468}
2026-06-01 13:20:13 | INFO     | trading_bot | Order executed and CLI printed success receipt.
